form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	base	derivational	nsyl	base_tr	lemma	p
aszalódok	26	aszalódo	[/V][Prs.NDef.1Sg]	lakom/lakok	2207	8570080167	aszalódom	21	1.2272727272727273	0.2047944126460132	aszalódik	NA	3	aßalódik	asalódik	0.5510204081632653
aszok	147	aszo	[/V][Prs.NDef.1Sg]	lakom/lakok	5633	8570080167	aszom	21	6.7272727272727275	1.9061698204057993	aszik	szik	1	aßik	asik	0.8705882352941177
átkozódok	13	átkozódo	[/V][Prs.NDef.1Sg]	lakom/lakok	3739	8570080167	átkozódom	60	0.22950819672131148	-1.4718165345580525	átkozódik	NA	3	átkozódik	átkozódik	0.18666666666666668
autókázok	29	autókázo	[/V][Prs.NDef.1Sg]	lakom/lakok	2943	8570080167	autókázom	18	1.5789473684210529	0.4567584024957149	autókázik	zik	4	autókázik	autókázik	0.6122448979591837
autózok	544	autózo	[/V][Prs.NDef.1Sg]	lakom/lakok	53397	8570080167	autózom	1088	0.5004591368227732	-0.6922293282697164	autózik	zik	3	autózik	autózik	0.33353733170134636
avatkozok	139	avatkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	45734	8570080167	avatkozom	448	0.311804008908686	-1.16538046513295	avatkozik	zik	3	avatkozik	avatkozik	0.23769100169779286
bábáskodok	12	bábáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5536	8570080167	bábáskodom	32	0.3939393939393939	-0.9315582040049436	bábáskodik	NA	3	bábáskodik	bábáškodik	0.2826086956521739
bajlódok	373	bajlódo	[/V][Prs.NDef.1Sg]	lakom/lakok	39724	8570080167	bajlódom	377	0.9894179894179894	-0.01063839820505575	bajlódik	NA	2	bajlódik	bajlódik	0.4973404255319149
bajoskodok	1	bajoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	101	8570080167	bajoskodom	3	0.5	-0.6931471805599453	bajoskodik	NA	3	bajoskodik	bajoškodik	0.3333333333333333
bakizok	24	bakizo	[/V][Prs.NDef.1Sg]	lakom/lakok	1995	8570080167	bakizom	13	1.7857142857142858	0.5798184952529422	bakizik	zik	2	bakizik	bakizik	0.641025641025641
balhézok	112	balhézo	[/V][Prs.NDef.1Sg]	lakom/lakok	6131	8570080167	balhézom	5	18.833333333333332	2.9356283494842854	balhézik	zik	2	balhézik	balhézik	0.9495798319327731
bámészkodok	110	bámészkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	6070	8570080167	bámészkodom	134	0.8222222222222222	-0.19574457712609536	bámészkodik	NA	3	báméßkodik	báméskodik	0.45121951219512196
bánkódok	143	bánkódo	[/V][Prs.NDef.1Sg]	lakom/lakok	14891	8570080167	bánkódom	467	0.3076923076923077	-1.1786549963416462	bánkódik	NA	2	bánkódik	bánkódik	0.23529411764705882
bántódok	10	bántódo	[/V][Prs.NDef.1Sg]	lakom/lakok	1216	8570080167	bántódom	7	1.375	0.3184537311185346	bántódik	NA	2	bántódik	bántódik	0.5789473684210527
barátkozok	287	barátkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	50745	8570080167	barátkozom	2017	0.1427155599603568	-1.9469017207776085	barátkozik	zik	3	barátkozik	barátkozik	0.12489158716392018
basáskodok	3	basáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	547	8570080167	basáskodom	4	0.8	-0.2231435513142097	basáskodik	NA	3	basáskodik	bašáškodik	0.4444444444444444
bátorkodok	131	bátorkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	9746	8570080167	bátorkodom	1686	0.07824540604623592	-2.5479051599595977	bátorkodik	NA	3	bátorkodik	bátorkodik	0.07256734469488729
bátorodok	5	bátorodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1398	8570080167	bátorodom	16	0.35294117647058826	-1.041453874828161	bátorodik	NA	3	bátorodik	bátorodik	0.2608695652173913
bátortalanodok	11	bátortalanodo	[/V][Prs.NDef.1Sg]	lakom/lakok	479	8570080167	bátortalanodom	1	6	1.791759469228055	bátortalanodik	NA	5	bátortalanodik	bátortalanodik	0.8571428571428571
békétlenkedek	4	békétlenkede	[/V][Prs.NDef.1Sg]	lakom/lakok	301	8570080167	békétlenkedem	2	1.6666666666666667	0.5108256237659907	békétlenkedik	NA	4	békétlenkedik	békétlenkedik	0.625
beleszerelmesedek	28	beleszerelmesede	[/V][Prs.NDef.1Sg]	lakom/lakok	2629	8570080167	beleszerelmesedem	8	3.2222222222222223	1.1700712526502546	beleszerelmesedik	NA	6	beleßerelmesedik	beleserelmešedik	0.7631578947368421
berzenkedek	77	berzenkede	[/V][Prs.NDef.1Sg]	lakom/lakok	3632	8570080167	berzenkedem	98	0.7878787878787878	-0.23841102344499823	berzenkedik	NA	3	berzenkedik	berzenkedik	0.4406779661016949
betaknyosodok	1	betaknyosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	83	8570080167	betaknyosodom	1	1	0	betaknyosodik	NA	4	betak¥osodik	betakṉošodik	0.5
betegeskedek	66	betegeskede	[/V][Prs.NDef.1Sg]	lakom/lakok	9158	8570080167	betegeskedem	88	0.7528089887640449	-0.28394375034117386	betegeskedik	NA	4	betegeskedik	betegeškedik	0.42948717948717946
betegszek	15	betegsze	[/V][Prs.NDef.1Sg]	lakom/lakok	9223	8570080167	betegszem	129	0.12307692307692308	-2.094945728215801	betegszik	szik	2	betegßik	betegsik	0.10958904109589043
betyárkodok	7	betyárkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	246	8570080167	betyárkodom	1	4	1.3862943611198906	betyárkodik	NA	3	be†árkodik	beṯárkodik	0.8
bíbelődök	210	bíbelődö	[/V][Prs.NDef.1Sg]	lakom/lakok	14471	8570080167	bíbelődöm	239	0.8791666666666667	-0.12878078986592484	bíbelődik	NA	3	bíbelődik	bíbelődik	0.46784922394678485
bíráskodok	8	bíráskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	3616	8570080167	bíráskodom	40	0.2195121951219512	-1.5163474893680884	bíráskodik	NA	3	bíráskodik	bíráškodik	0.18
birkózok	329	birkózo	[/V][Prs.NDef.1Sg]	lakom/lakok	38668	8570080167	birkózom	762	0.4325032765399738	-0.8381653768239311	birkózik	zik	2	birkózik	birkózik	0.3019213174748399
bizakodok	448	bizakodo	[/V][Prs.NDef.1Sg]	lakom/lakok	30323	8570080167	bizakodom	1122	0.39982190560997327	-0.9167360669961888	bizakodik	NA	3	bizakodik	bizakodik	0.2856234096692112
bizalmaskodok	2	bizalmaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	700	8570080167	bizalmaskodom	9	0.3	-1.203972804325936	bizalmaskodik	NA	4	bizalmaskodik	bizalmaškodik	0.23076923076923078
bizalmatlankodok	3	bizalmatlankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	284	8570080167	bizalmatlankodom	1	2	0.6931471805599453	bizalmatlankodik	NA	5	bizalmatlankodik	bizalmatlankodik	0.6666666666666666
bízok	14694	bízo	[/V][Prs.NDef.1Sg]	lakom/lakok	1037991	8570080167	bízom	139717	0.10517614051160194	-2.252118805622328	bízik	zik	1	bízik	bízik	0.09516685771275735
bizonyosodok	39	bizonyosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	29527	8570080167	bizonyosodom	46	0.851063829787234	-0.16126814759612226	bizonyosodik	NA	4	bizo¥osodik	bizoṉošodik	0.4597701149425288
bizonytalankodok	48	bizonytalankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	4183	8570080167	bizonytalankodom	101	0.4803921568627451	-0.7331525151736444	bizonytalankodik	NA	5	bizo¥talankodik	bizoṉtalankodik	0.32450331125827814
bocsátkozok	71	bocsátkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	24331	8570080167	bocsátkozom	1019	0.07058823529411765	-2.6508917872622613	bocsátkozik	zik	3	boçátkozik	bočátkozik	0.06593406593406595
bogarászok	186	bogarászo	[/V][Prs.NDef.1Sg]	lakom/lakok	9264	8570080167	bogarászom	156	1.1910828025477709	0.17486281150627853	bogarászik	szik	3	bogaráßik	bogarásik	0.5436046511627907
bohóckodok	164	bohóckodo	[/V][Prs.NDef.1Sg]	lakom/lakok	10687	8570080167	bohóckodom	119	1.375	0.3184537311185346	bohóckodik	NA	3	bohóckodik	bohóckodik	0.5789473684210527
bóklászok	207	bóklászo	[/V][Prs.NDef.1Sg]	lakom/lakok	13080	8570080167	bóklászom	195	1.0612244897959184	0.0594234204708008	bóklászik	szik	2	bókláßik	bóklásik	0.5148514851485149
bölcselkedek	15	bölcselkede	[/V][Prs.NDef.1Sg]	lakom/lakok	1698	8570080167	bölcselkedem	29	0.5333333333333333	-0.6286086594223742	bölcselkedik	NA	3	bölçelkedik	bölčelkedik	0.34782608695652173
böngészök	1	böngészö	[/V][Prs.NDef.1Sg]	lakom/lakok	122712	8570080167	böngészöm	4	0.4	-0.916290731874155	böngészik	szik	2	böngéßik	böngésik	0.2857142857142857
bonyolódok	161	bonyolódo	[/V][Prs.NDef.1Sg]	lakom/lakok	34776	8570080167	bonyolódom	205	0.7864077669902912	-0.24027983355719704	bonyolódik	NA	3	bo¥olódik	boṉolódik	0.4402173913043478
borotválkozok	56	borotválkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	7593	8570080167	borotválkozom	341	0.16666666666666666	-1.791759469228055	borotválkozik	zik	4	borotválkozik	borotválkozik	0.14285714285714285
bosszankodok	459	bosszankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	28274	8570080167	bosszankodom	994	0.4623115577889447	-0.7715162476754521	bosszankodik	NA	3	bosßankodik	bošsankodik	0.3161512027491409
botladozok	128	botladozo	[/V][Prs.NDef.1Sg]	lakom/lakok	8796	8570080167	botladozom	187	0.6861702127659575	-0.37662955846827706	botladozik	zik	3	botladozik	botladozik	0.4069400630914827
botlok	1692	botlo	[/V][Prs.NDef.1Sg]	lakom/lakok	41912	8570080167	botlom	197	8.55050505050505	2.1459903514386	botlik	lik	1	botlik	botlik	0.8952934955050238
botránkozok	24	botránkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3482	8570080167	botránkozom	65	0.3787878787878788	-0.9707789171582248	botránkozik	zik	3	botránkozik	botránkozik	0.2747252747252747
bővelkedek	41	bővelkede	[/V][Prs.NDef.1Sg]	lakom/lakok	38446	8570080167	bővelkedem	118	0.35294117647058826	-1.041453874828161	bővelkedik	NA	3	bővelkedik	bővelkedik	0.2608695652173913
búcsúzkodok	15	búcsúzkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	3282	8570080167	búcsúzkodom	105	0.1509433962264151	-1.890850371872286	búcsúzkodik	NA	3	búçúzkodik	búčúzkodik	0.13114754098360654
búcsúzok	402	búcsúzo	[/V][Prs.NDef.1Sg]	lakom/lakok	154036	8570080167	búcsúzom	2888	0.13949463482173763	-1.9697291385195523	búcsúzik	zik	2	búçúzik	búčúzik	0.1224179829890644
büdösödök	4	büdösödö	[/V][Prs.NDef.1Sg]	lakom/lakok	1381	8570080167	büdösödöm	2	1.6666666666666667	0.5108256237659907	büdösödik	NA	3	büdösödik	büdöšödik	0.625
bujdosok	49	bujdoso	[/V][Prs.NDef.1Sg]	lakom/lakok	4942	8570080167	bujdosom	12	3.8461538461538463	1.3470736479666094	bujdosik	NA	2	bujdosik	bujdošik	0.7936507936507936
bújócskázok	24	bújócskázo	[/V][Prs.NDef.1Sg]	lakom/lakok	3783	8570080167	bújócskázom	13	1.7857142857142858	0.5798184952529422	bújócskázik	zik	3	bújóçkázik	bújóčkázik	0.641025641025641
bukfencezek	27	bukfenceze	[/V][Prs.NDef.1Sg]	lakom/lakok	3043	8570080167	bukfencezem	8	3.111111111111111	1.1349799328389845	bukfencezik	zik	3	bukfencezik	bukfencezik	0.7567567567567568
bűnhődök	33	bűnhődö	[/V][Prs.NDef.1Sg]	lakom/lakok	9169	8570080167	bűnhődöm	85	0.3953488372093023	-0.9279867716373464	bűnhődik	NA	2	bűnhődik	bűnhődik	0.2833333333333333
bűnözök	1253	bűnözö	[/V][Prs.NDef.1Sg]	lakom/lakok	6131	8570080167	bűnözöm	1	627	6.440946540632921	bűnözik	zik	2	bűnözik	bűnözik	0.9984076433121019
burkolódzok	1	burkolódzo	[/V][Prs.NDef.1Sg]	lakom/lakok	13652	8570080167	burkolódzom	21	0.09090909090909093	-2.3978952727983707	burkolódzik	zik	3	burkolódzik	burkolódzik	0.08333333333333331
búslakodok	31	búslakodo	[/V][Prs.NDef.1Sg]	lakom/lakok	8087	8570080167	búslakodom	70	0.4507042253521127	-0.7969439742415888	búslakodik	NA	3	búslakodik	búšlakodik	0.3106796116504854
büszkélkedek	66	büszkélkede	[/V][Prs.NDef.1Sg]	lakom/lakok	84413	8570080167	büszkélkedem	122	0.5447154471544715	-0.6074917359814515	büszkélkedik	NA	3	büßkélkedik	büskélkedik	0.35263157894736846
butáskodok	1	butáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	585	8570080167	butáskodom	5	0.3333333333333333	-1.0986122886681098	butáskodik	NA	3	butáskodik	butáškodik	0.25
búvárkodok	51	búvárkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	10030	8570080167	búvárkodom	96	0.5360824742268041	-0.6234672599219555	búvárkodik	NA	3	búvárkodik	búvárkodik	0.348993288590604
bűvészkedek	49	bűvészkede	[/V][Prs.NDef.1Sg]	lakom/lakok	3597	8570080167	bűvészkedem	34	1.4285714285714286	0.3566749439387324	bűvészkedik	NA	3	bűvéßkedik	bűvéskedik	0.5882352941176471
buzgólkodok	1	buzgólkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	2888	8570080167	buzgólkodom	43	0.04545454545454545	-3.0910424533583156	buzgólkodik	NA	3	buzgólkodik	buzgólkodik	0.04347826086956522
cangázok	26	cangázo	[/V][Prs.NDef.1Sg]	lakom/lakok	163	8570080167	cangázom	6	3.857142857142857	1.349926716949016	cangázik	zik	2	cangázik	cangázik	0.7941176470588235
cicózok	12	cicózo	[/V][Prs.NDef.1Sg]	lakom/lakok	1046	8570080167	cicózom	3	3.25	1.1786549963416462	cicózik	zik	2	cicózik	cicózik	0.7647058823529411
cigánykodok	5	cigánykodo	[/V][Prs.NDef.1Sg]	lakom/lakok	325	8570080167	cigánykodom	6	0.8571428571428571	-0.15415067982725836	cigánykodik	NA	3	cigá¥kodik	cigáṉkodik	0.46153846153846145
cigarettázok	54	cigarettázo	[/V][Prs.NDef.1Sg]	lakom/lakok	7767	8570080167	cigarettázom	136	0.40145985401459855	-0.912647740595654	cigarettázik	zik	4	cigarettázik	cigarettázik	0.28645833333333337
cikkezek	50	cikkeze	[/V][Prs.NDef.1Sg]	lakom/lakok	14162	8570080167	cikkezem	8	5.666666666666667	1.7346010553881064	cikkezik	zik	2	cikkezik	cikkezik	0.85
cipekedek	109	cipekede	[/V][Prs.NDef.1Sg]	lakom/lakok	4233	8570080167	cipekedem	23	4.583333333333333	1.5224265354444706	cipekedik	NA	3	cipekedik	cipekedik	0.8208955223880596
cipekszek	3	cipeksze	[/V][Prs.NDef.1Sg]	lakom/lakok	4233	8570080167	cipekszem	4	0.8	-0.2231435513142097	cipekszik	szik	2	cipekßik	cipeksik	0.4444444444444444
citerázok	12	citerázo	[/V][Prs.NDef.1Sg]	lakom/lakok	1464	8570080167	citerázom	13	0.9285714285714286	-0.07410797215372185	citerázik	zik	3	citerázik	citerázik	0.48148148148148157
civódok	4	civódo	[/V][Prs.NDef.1Sg]	lakom/lakok	735	8570080167	civódom	4	1	0	civódik	NA	2	civódik	civódik	0.5
csalatkozok	7	csalatkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	4769	8570080167	csalatkozom	122	0.06504065040650407	-2.7327428136925813	csalatkozik	zik	3	çalatkozik	čalatkozik	0.06106870229007635
csalódok	1342	csalódo	[/V][Prs.NDef.1Sg]	lakom/lakok	170163	8570080167	csalódom	923	1.4534632034632036	0.37394912488155346	csalódik	NA	2	çalódik	čalódik	0.5924128804587561
csapódok	141	csapódo	[/V][Prs.NDef.1Sg]	lakom/lakok	59286	8570080167	csapódom	80	1.7530864197530864	0.561377902928822	csapódik	NA	2	çapódik	čapódik	0.6367713004484306
csatlakozok	1779	csatlakozo	[/V][Prs.NDef.1Sg]	lakom/lakok	869608	8570080167	csatlakozom	3253	0.547019053472649	-0.6032716444928523	csatlakozik	zik	3	çatlakozik	čatlakozik	0.35359555025824396
csavarodok	33	csavarodo	[/V][Prs.NDef.1Sg]	lakom/lakok	9265	8570080167	csavarodom	11	2.8333333333333335	1.0414538748281612	csavarodik	NA	3	çavarodik	čavarodik	0.7391304347826086
cselekszek	301	cseleksze	[/V][Prs.NDef.1Sg]	lakom/lakok	280658	8570080167	cselekszem	3938	0.07666920538207667	-2.5682551455960363	cselekszik	szik	2	çelekßik	čeleksik	0.07120962037255364
csellózok	17	csellózo	[/V][Prs.NDef.1Sg]	lakom/lakok	1782	8570080167	csellózom	39	0.45	-0.7985076962177716	csellózik	zik	2	çellózik	čellózik	0.3103448275862069
csendesedek	12	csendesede	[/V][Prs.NDef.1Sg]	lakom/lakok	6494	8570080167	csendesedem	2	4.333333333333333	1.466337068793427	csendesedik	NA	3	çendesedik	čendešedik	0.8125
csigázok	48	csigázo	[/V][Prs.NDef.1Sg]	lakom/lakok	4081	8570080167	csigázom	44	1.0888888888888888	0.08515780834030677	csigázik	zik	2	çigázik	čigázik	0.5212765957446809
